corpus,bytes,arm,threads,rep,wall_s
nasa,205242368,ld,4,3,0.094993
nasa,205242368,gz,4,4,0.116193
nasa,205242368,gz2,4,4,0.108136
nasa,205242368,rg,4,4,0.190976
nasa,205242368,ld,4,4,0.091712
nasa,205242368,gz,4,5,0.104643
nasa,205242368,gz2,4,5,0.111111
nasa,205242368,rg,4,5,0.177070
nasa,205242368,ld,4,5,0.091883
nasa,205242368,gz,4,6,0.108372
nasa,205242368,gz2,4,6,0.111527
nasa,205242368,rg,4,6,0.169865
nasa,205242368,ld,4,6,0.096831
nasa,205242368,gz,4,7,0.105672
nasa,205242368,gz2,4,7,0.111235
nasa,205242368,rg,4,7,0.178693
nasa,205242368,ld,4,7,0.092435
nasa,205242368,gz,4,8,0.112327
nasa,205242368,gz2,4,8,0.109457
nasa,205242368,rg,4,8,0.175292
nasa,205242368,ld,4,8,0.090515
nasa,205242368,gz,4,9,0.105976
nasa,205242368,gz2,4,9,0.109751
nasa,205242368,rg,4,9,0.167428
nasa,205242368,ld,4,9,0.091019
nasa,205242368,gz,4,10,0.104738
nasa,205242368,gz2,4,10,0.104408
nasa,205242368,rg,4,10,0.177994
nasa,205242368,ld,4,10,0.092925
nasa,205242368,gz,4,11,0.110126
nasa,205242368,gz2,4,11,0.105050
nasa,205242368,rg,4,11,0.171787
nasa,205242368,ld,4,11,0.091850
nasa,205242368,gz,4,12,0.113169
nasa,205242368,gz2,4,12,0.110341
nasa,205242368,rg,4,12,0.167903
nasa,205242368,ld,4,12,0.092651
nasa,205242368,gz,4,13,0.102550
nasa,205242368,gz2,4,13,0.109520
nasa,205242368,rg,4,13,0.170823
nasa,205242368,ld,4,13,0.090900
nasa,205242368,gz,8,1,0.066551
nasa,205242368,gz2,8,1,0.066202
nasa,205242368,rg,8,1,0.111243
nasa,205242368,ld,8,1,0.092451
nasa,205242368,gz,8,2,0.066954
nasa,205242368,gz2,8,2,0.068898
nasa,205242368,rg,8,2,0.110993
nasa,205242368,ld,8,2,0.096819
nasa,205242368,gz,8,3,0.063279
nasa,205242368,gz2,8,3,0.068347
nasa,205242368,rg,8,3,0.105896
nasa,205242368,ld,8,3,0.091316
nasa,205242368,gz,8,4,0.067608
nasa,205242368,gz2,8,4,0.069755
nasa,205242368,rg,8,4,0.112910
nasa,205242368,ld,8,4,0.091800
nasa,205242368,gz,8,5,0.070823
nasa,205242368,gz2,8,5,0.069935
nasa,205242368,rg,8,5,0.119894
nasa,205242368,ld,8,5,0.094463
nasa,205242368,gz,8,6,0.066137
nasa,205242368,gz2,8,6,0.071050
nasa,205242368,rg,8,6,0.105454
nasa,205242368,ld,8,6,0.091651
nasa,205242368,gz,8,7,0.062749
nasa,205242368,gz2,8,7,0.066522
nasa,205242368,rg,8,7,0.116374
nasa,205242368,ld,8,7,0.091517
nasa,205242368,gz,8,8,0.067259
nasa,205242368,gz2,8,8,0.062476
nasa,205242368,rg,8,8,0.111382
nasa,205242368,ld,8,8,0.092189
nasa,205242368,gz,8,9,0.067215
nasa,205242368,gz2,8,9,0.064750
nasa,205242368,rg,8,9,0.106996
nasa,205242368,ld,8,9,0.089675
nasa,205242368,gz,8,10,0.065476
nasa,205242368,gz2,8,10,0.065946
nasa,205242368,rg,8,10,0.116990
nasa,205242368,ld,8,10,0.092789
nasa,205242368,gz,8,11,0.071665
nasa,205242368,gz2,8,11,0.067980
nasa,205242368,rg,8,11,0.108108
nasa,205242368,ld,8,11,0.091558
nasa,205242368,gz,8,12,0.065607
nasa,205242368,gz2,8,12,0.068568
nasa,205242368,rg,8,12,0.101766
nasa,205242368,ld,8,12,0.093251
nasa,205242368,gz,8,13,0.070943
nasa,205242368,gz2,8,13,0.076980
nasa,205242368,rg,8,13,0.107090
nasa,205242368,ld,8,13,0.091732
squishy,400391411,gz,1,1,0.556715
squishy,400391411,gz2,1,1,0.559944
squishy,400391411,rg,1,1,1.178000
squishy,400391411,ld,1,1,0.453181
squishy,400391411,gz,1,2,0.553038
squishy,400391411,gz2,1,2,0.560427
squishy,400391411,rg,1,2,1.184010
squishy,400391411,ld,1,2,0.456129
squishy,400391411,gz,1,3,0.559880
squishy,400391411,gz2,1,3,0.560253
squishy,400391411,rg,1,3,1.174019
squishy,400391411,ld,1,3,0.452222
